,ssoc_2015,ssoc_2015_title
157,21322,Horticulturist/Arborist
158,21323,Plant Pathologist
159,21324,Soil Scientist
160,21325,Floriculturist/Orchidologist
161,21326,Plant Tissue Culturist
162,21327,Aquaculturist
163,21329,"Other Farming, Forestry And Fishery Advisers"
164,2133,Environmental Protection And Related Professionals
165,21331,Environmental Officer (Environmental Protection)
166,21332,Environment Research Scientist (Eg Ecologist)
167,21333,Energy Manager
168,21339,Other Environmental Protection And Related Professionals
169,2134,Pharmacologists And Related Professionals
170,21341,Pharmacologist
171,21342,Anatomist
172,21343,Biochemist
173,21344,Physiologist
174,21345,Animal Scientist
175,21346,Medical Scientist
176,21347,Clinical Research Professionals
177,21349,Other Pharmacologists And Related Professionals
178,214,Engineering Professionals (Excluding Electrotechnology)
179,2141,Industrial And Production Engineers
180,21411,Manufacturing Engineer (General)
181,21412,Production Engineer
182,21413,Automation Engineer
183,21414,Quality Control/Assurance Engineer
184,21419,Other Industrial And Production Engineers
185,2142,Civil Engineers
186,21421,Civil Engineer (General)
187,21422,Structural Engineer (General)
188,21423,Building Construction Engineer
189,21424,Soil Mechanic/Piling Engineer
190,21429,Other Civil Engineers
191,2143,Environmental Engineers
192,21431,Environmental Engineer
193,21432,Sewerage/Sanitary Engineer
194,2144,Mechanical Engineers
195,21441,Mechanical Engineer (General)
196,21442,Industrial Machinery And Tools Engineer
197,21443,Marine Engineer (Shore-Based)
198,21444,Naval Architect
199,21445,Aeronautical Engineer
200,21446,Automotive Engineer
201,21447,Air-Conditioning/Refrigeration Engineer
202,21449,Other Mechanical Engineers
203,2145,Chemical Engineers
204,21451,Chemical Engineer (General)
205,21452,Chemical Engineer (Petroleum)
206,21453,Chemical Engineer (Petrochemicals)
207,21459,Other Chemical Engineers
208,2146,"Mining Engineers, Metallurgists And Related Professionals"
209,21461,Petroleum/Natural Gas Engineer
210,21462,Metallurgist
211,21469,"Other Mining Engineers, Metallurgists And Related Professionals"
212,2149,Engineering Professionals Not Elsewhere Classified
213,21491,Biomedical Engineer
214,21492,Materials Engineer
215,21493,Industrial Safety Engineer
216,21494,Quantity Surveyor
217,21495,Ceramics/Glass Technologist
218,21496,Food And Drink Technologist
219,21497,Optical Engineer (Including Laser Engineer)
220,21498,Safety And Security Consultant
221,21499,Other Engineering Professionals N.E.C.
222,215,Electrotechnology Engineers
