,ssoc_2015,ssoc_2015_title
724,33153,Intangible Asset Valuer (Eg Intellectual Property Valuation Analyst)
725,332,Sales And Related Associate Professionals
726,3321,Insurance Representatives And Related Associate Professionals
727,33211,Insurance Sales Agent/Broker (Including Independent Financial Planner)
728,33219,Other Insurance Representatives And Related Associate Professionals
729,3322,Commercial And Marketing Sales Executives
730,33221,Business Development Executive
731,33222,After Sales Adviser/Client Account Service Executive
732,33223,Marketing And Sales Executive (Food & Beverage Services)
733,33229,Other Commercial And Marketing Sales Executives
734,3323,Buyers And Purchasing Agents
735,33231,Buyer
736,33232,Purchasing Agent
737,3329,Sales And Related Associate Professionals Not Elsewhere Classified
738,33291,Intellectual Property Brokers And Transaction Specialists
739,33299,Sales And Related Associate Professional N.E.C.
740,333,Business Services Agents
741,3331,"Shipping, Clearing And Forwarding Agents"
742,33311,Clearing And Forwarding Agent
743,33312,Ship Agent
744,3332,Conference And Event Planners
745,33320,Exhibition/Conference/Event Planner (Including Wedding Planner/Coordinator)
746,3333,Employment Agents And Labour Contractors
747,33330,Employment Agent/Labour Contractor
748,3334,Real Estate Agents
749,33340,Real Estate Agent
750,3339,Business Services Agents Not Elsewhere Classified
751,33391,Auctioneer
752,33392,Advertising Salesman
753,33393,International Market Agent/Representative (Eg Junket Operator)
754,33399,"Other Business Services Agents N.E.C. (Eg Sports Agent, Artiste Agent)"
755,334,Administrative Associate Professionals
756,3345,Human Resource Associate Professionals
757,33451,Personnel/Human Resource Officer
758,33452,Industrial Relations Officer
759,33453,Training Officer
760,33454,Crewing Executive (Ship)
761,3349,Administrative And Related Associate Professionals Not Elsewhere Classified
762,33491,Management Executive
763,33492,Operations Officer (Except Transport Operations)
764,33499,Other Administrative And Related Associate Professionals N.E.C. (Eg Career Consultant/Advisor/Coach)
765,335,Government Associate Professionals
766,3351,Customs And Immigration Officers
767,33510,Customs/Immigration Officer
768,3355,Police Inspectors
769,33550,Police Inspector
770,3359,Government Associate Professionals Not Elsewhere Classified
771,33591,Government Tax And Excise Official
772,33592,Government Social Benefits Official
773,33593,Government Licensing Official
774,33599,Other Government Associate Professionals N.E.C.
775,34,"Legal, Social, Cultural And Related Associate Professionals"
776,341,Legal And Social Associate Professionals
777,3411,Legal Associate Professionals
778,34110,Legal Associate Professional (Eg Paralegal)
779,3412,Social Work Associate Professionals
780,34121,Youth Worker
781,34129,Other Social Work Associate Professionals
782,342,Sports And Fitness Workers
783,3421,Athletes And Sportsmen
784,34210,Athlete/Sportsman
785,3422,"Sports Coaches, Instructors, Officials And Other Related Associate Professionals"
786,34221,Sports Coach
787,34222,Martial Arts Instructor
788,34223,Physical Fitness Instructor (Including Yoga Instructor And Aerobics Instructor)
789,34224,Sports Official
790,34229,Other Related Instructors And Associate Professionals (Eg Adventure Training Instructor And Scuba Diving Instructor)
791,343,Artistic And Cultural Associate Professionals
792,3431,Photographers
793,34310,Photographer
794,3432,Interior Designers And Decorators
795,34321,Interior Designer
796,34322,Landscape Designer
797,34323,Display Artist
798,34324,Decorator And Related Worker (Eg Window Dresser And Set Designer)
799,3433,"Gallery, Museum And Library Technicians"
800,34331,Library Officer
801,34332,"Gallery, Museum And Related Technician"
802,3434,Chefs
803,34340,Chef
804,3439,Artistic And Cultural Associate Professionals Not Elsewhere Classified
805,34391,Tattooist
806,34399,Other Artistic And Cultural Associate Professionals N.E.C.
807,344,Creative And Performing Arts Associate Professionals
808,3440,Creative And Performing Arts Associate Professionals
809,34401,Clown
810,34402,Magician
811,34403,Acrobat
812,34404,Aerialist
813,34405,Disc Jockey
814,34409,Other Creative And Performing Arts Associate Professionals
815,35,Information And Communications Technicians
816,351,Information And Communications Technology Operators And Technicians
817,3511,Computer Systems Operators
818,35110,Computer Systems Operator
819,3512,Computer Technicians
820,35120,Computer Technician (Including It User Helpdesk Technician)
821,3514,Website Administrators
822,35140,Website Administrator/Webmaster
823,352,Telecommunications And Broadcasting Technicians And Audio-Visual Operators
824,3521,Broadcasting Technicians And Audio-Visual Operators
825,35211,Broadcasting Operations Technician
826,35212,Video Camera Operator
827,35213,Television/Motion Picture Camera Operator
828,35214,Radio And Television Studio Equipment Operator
829,35215,Sound Recording Equipment Operator
830,35216,Cinema Projectionist
831,35219,Other Broadcasting Technicians And Audio-Visual Operators (Eg Microphone Operator)
832,3522,Telecommunications Engineering Technicians
833,35220,Telecommunications Technician
834,3523,Telecommunications Equipment Operators
835,35231,Telecommunications Service Supervisor
836,35232,Radio-Telephone Operator (Land-Based)
837,35233,Ship'S Radio Officer
838,35234,Flight Radio Operator
839,35239,Other Telecommunications Equipment Operators
840,3529,Optical And Electronic Equipment Operators Not Elsewhere Classified
841,35290,Optical And Electronic Equipment Operator N.E.C.
842,36,Teaching Associate Professionals
843,361,Pre-Primary Education Teachers
844,3610,Pre-Primary Education Teachers
845,36100,Pre-Primary Education Teacher
846,362,Extracurriculum Instructors
847,3620,Extracurriculum Instructors
848,36201,Language Instructor (Extracurriculum)
849,36202,Art And Craft Instructor (Extracurriculum)
850,36203,Information Technology Trainer (Extracurriculum)
851,36204,Music Instructor (Extracurriculum)
852,36205,Dance Instructor (Extracurriculum)
853,36206,Speech And Drama Instructor (Extracurriculum)
854,36209,Other Extracurriculum Instructors
855,369,Teaching Associate Professionals Not Elsewhere Classified
856,3691,Private Tutors
857,36910,Private Tutor (Academic)
858,3699,Teaching Associate Professionals Not Elsewhere Classified
859,36991,Relief Teacher
860,36999,Other Teaching Associate Professionals N.E.C.
861,39,Other Associate Professionals Not Elsewhere Classified
862,399,Other Associate Professionals Not Elsewhere Classified
863,3991,Religious Associate Professionals
864,39910,Non-Ordained Religious Associate Professional
865,3999,Other Associate Professionals Not Elsewhere Classified
866,39990,Other Associate Professionals N.E.C.
867,4,Clerical Support Workers
868,40,Clerical Supervisors
869,400,Clerical Supervisors
870,4000,Clerical Supervisors
871,40000,Clerical Supervisor
872,41,General And Keyboard Clerks
873,411,General Office Clerks
874,4110,General Office Clerks
875,41101,Office Clerk (General)
876,41102,Filing And Copying Clerk
877,41103,Personnel/Human Resource Clerk
878,41109,Other Administrative Clerks (Eg Public Relations Clerk)
879,412,Secretaries And Verbatim Reporters
880,4120,Secretaries And Verbatim Reporters
881,41201,Secretary
882,41202,Verbatim Reporter
883,413,Keyboard Operators
884,4131,Typists And Word Processing Operators
885,41311,Stenographer
886,41312,Typist
887,41319,Other Word Processors And Related Operators
888,4132,Data Entry Clerks
889,41320,Data Entry Clerk
890,42,Customer Services Officers And Clerks
891,421,"Tellers, Money Collectors And Related Clerks"
892,4211,Bank Tellers And Other Counter Clerks
893,42111,Bank Teller
894,42112,Postal Service Counter Clerk
895,42113,Money Changer
896,42119,Other Tellers And Counter Clerks
897,4213,Pawnbrokers And Moneylenders
898,42131,Pawnbroker
899,42132,Moneylender
900,4214,Bill Collectors And Related Workers
901,42141,Bill Collector
902,42149,Other Bill Collectors And Related Workers
903,422,Client Information Clerks
904,4221,Travel Agency And Related Clerks
905,42210,Travel Agency/Service Clerk
906,4223,Telephone Operators
907,42230,Telephone Operator
908,4224,"Receptionists, Customer Service And Information Clerks"
909,42241,Receptionist (General)
910,42242,Hotel Receptionist
911,42243,Medical/Dental Receptionist
912,42244,Airport Receptionist/Clerk
913,42245,Customer Service Officer/Clerk
914,42246,Contact Centre Information Clerk
915,42249,Other Receptionists And Information Clerks
916,4229,Client Information Clerks Not Elsewhere Classified
917,42290,Client Information Clerk N.E.C.
918,43,Numerical And Material-Recording Clerks
919,431,Numerical Clerks
920,4311,Accounting And Bookkeeping Clerks
921,43111,Bookkeeper
922,43112,Ledger And Accounts Clerk
923,43113,Audit Clerk
924,43114,Payroll/Wages Clerk
925,43115,Billing Clerk
926,43116,Purchasing Clerk
927,43119,Other Accounting Clerks (Eg Cost Clerk)
928,4312,Finance And Insurance Clerks
929,43121,Bank Operations Clerk
930,43122,Insurance/Underwriting Clerk
931,43123,Securities Clerk
932,43129,Other Finance And Insurance Clerks (Eg Credit Clerk)
933,4314,Statistical Clerks
934,43141,Statistical Clerk (General)
935,43142,Enumerator/Market Research Interviewer
936,43149,Other Statistical Clerks
937,4315,Computer Operations Clerks
938,43151,Data Processing Control Clerk
939,43159,Other Computer Operations Clerks
940,432,Material-Recording And Transport Clerks
941,4321,Stock Clerks
942,43211,Stock Records Clerk
943,43212,Storekeeper
944,43219,Other Stock Clerks
945,4322,Production Clerks
946,43221,Material Planning Clerk
947,43222,Production Planning Clerk
948,43229,Other Production Clerks
949,4323,Transport Clerks
950,43231,Shipping Clerk
951,43232,Land Transport Clerk
952,43233,Air Transport Clerk
953,43239,Other Transport Clerks
954,44,Other Clerical Support Workers
955,441,Other Clerical Support Workers
956,4411,Library Clerks
957,44110,Library Clerk
958,4417,Legal Clerks
959,44170,Legal Clerk
960,4419,Clerical Support Workers Not Elsewhere Classified
961,44191,Proofreading Clerk
962,44199,Other Clerical Support Workers N.E.C.
963,5,Service And Sales Workers
964,51,Personal Service Workers
965,511,"Travel Attendants, Conductors And Guides"
966,5111,Travel Attendants And Stewards
967,51111,Chief Steward (Ship)
968,51112,Cabin Attendant/Steward
969,5112,Transport Service Inspectors And Related Workers
970,51121,Rail Station Service Assistant
971,51122,Ticket Inspector
972,51129,Other Transport Service Inspectors And Related Workers
973,5113,Tour And Other Guides
974,51131,Tour Guide
975,51132,"Nature Guide (Including Zoo, Birdpark And Aquarium)"
976,51133,Theme Park Guide
977,51139,"Other Guides (Eg Museum, Historical Sites)"
978,512,Cooks
979,5120,Cooks
980,51200,Cook
981,513,Waiters And Bartenders
982,5131,Waiters
983,51311,Captain Waiter/Waiter Supervisor
984,51312,Waiter
985,5132,Bartenders And Baristas
986,51321,Bartender/Mixologist
987,51322,Barista
988,5133,Bar/Lounge Hostesses
989,51330,Bar/Lounge Hostess
990,5139,Waiters And Bartenders Not Elsewhere Classified
991,51390,Waiter And Bartender N.E.C. (Eg Food Checker (Catering Services))
992,514,"Hairdressers, Beauticians And Related Workers"
993,5141,"Hairdressers, Barbers And Other Related Workers"
994,51411,Hair Stylist/Hairdresser
995,51412,Barber
996,51419,Other Hair Care Workers (Eg Hair Therapist/Consultant)
997,5142,Beauticians And Related Workers
998,51421,Beautician
999,51422,Manicurist
1000,51423,"Make-Up Artist (Stage, Film And Studio)"
1001,5149,Wellness Related Workers Not Elsewhere Classified
1002,51491,Masseur (Non-Medical) (Including Foot Reflexologist)
1003,51492,Slimming Consultant
1004,51499,Other Wellness Related Workers N.E.C.
1005,515,Housekeepers And Related Workers
1006,5150,Housekeepers And Related Workers
1007,51501,Housekeeper (Hotels And Other Establishments)
1008,51502,House Steward
1009,51503,Housekeeping Matron
1010,51509,Other Housekeepers And Related Workers (Eg Personal Butler)
1011,516,Mail Carriers And Sorting Workers
1012,5160,Mail Carriers And Sorting Workers
1013,51601,Postal/Courier Service Supervisor
1014,51602,Postman
1015,51603,Process Server
1016,51604,Despatch Worker
1017,51609,Other Mail Distribution Workers (Eg Mail Sorter)
1018,517,"Bookmakers, Croupiers And Related Gaming Workers"
1019,5170,"Bookmakers, Croupiers And Related Gaming Workers"
1020,51701,"Gaming Supervisor (Eg Pit Manager/Supervisor, Slot Manager/Supervisor And Casino Shift Manager/Supervisor)"
1021,51702,Bookmaker/Croupier/Casino Dealer And Related Gaming Worker
1022,519,Personal Service Workers Not Elsewhere Classified
1023,5191,"Astrologers, Fortune-Tellers And Related Workers"
1024,51910,Astrologer/Fortune Teller And Related Worker
1025,5193,Undertakers And Embalmers
1026,51931,Undertaker
1027,51932,Embalmer
1028,5194,"Pet Groomers, Animal Keepers And Trainers"
1029,51941,Pet Groomer
1030,51942,"Keeper/Trainer In Zoological, Bird And Aquatic Parks"
1031,51943,Keeper/Trainer In Crocodile Farm
1032,51944,Horse Trainer
1033,51945,Dog Trainer
1034,51949,Other Animal/Bird Keepers And Animal Care Workers
1035,5195,Driving Instructors
1036,51950,Driving Instructor/Tester
1037,5199,Personal Service Workers Not Elsewhere Classified
1038,51991,Social Escort
1039,51999,Other Personal Service Workers N.E.C.
1040,52,Sales Workers
1041,521,Stall Sales Workers
1042,5211,Hawker/Stall Holders (Excluding Prepared Food Or Drinks)
1043,52110,Hawker/Stall Holder (Excluding Prepared Food Or Drinks)
1044,5212,Hawker/Stall Holders (Prepared Food Or Drinks)
1045,52120,Hawker/Stall Holder (Prepared Food Or Drinks)
1046,5213,Newsvendors
1047,52130,Newsvendor
1048,5219,Other Stall Sales Workers
1049,52190,Other Stall Sales Workers
1050,522,Shop Salespersons
1051,5220,Shop And Store Salespersons
1052,52201,Sales Supervisor
1053,52202,Shop Sales Assistant
1054,523,Cashiers And Ticket Clerks
1055,5230,Cashiers And Ticket Clerks
1056,52301,Cage/Count Supervisor
1057,52302,Cashier (General)
1058,52303,Office Cashier
1059,52309,"Other Cashiers, Ticket And Related Clerks"
1060,524,"Models, Sales Demonstrators And Other Sales Workers"
1061,5241,Fashion And Other Models
1062,52411,Fashion Model
1063,52419,Other Models (Eg Artist'S Model)
1064,5242,Sales Demonstrators And Door-To-Door Salespersons
1065,52421,Sales Demonstrator
1066,52422,Salesperson (Door-To-Door)
1067,5244,Contact Centre Salespersons
1068,52440,Telemarketer
1069,5249,Sales Workers Not Elsewhere Classified
1070,52491,Petrol Station Attendant
1071,52492,Food Service Counter Attendant
1072,52499,Sales Worker N.E.C. (Eg Ship Chandler)
1073,53,Personal Care Workers
1074,531,Child Care Workers And Teachers' Aides
1075,5311,Child Care And Related Workers
1076,53111,Babysitter (Household)
1077,53112,Confinement Nanny
1078,53113,Child /After School Care Centre Worker
1079,53114,Child/Youth Residential Care Assistant
1080,5312,Teachers' Aides
1081,53120,Teachers' Aide
1082,532,Healthcare Assistants And Other Personal Care Workers
1083,5320,Healthcare Assistants And Other Personal Care Workers
1084,53201,Healthcare Assistant (Eg Therapy Aide/Assistant)
1085,53209,Other Personal Care Worker (Eg Old Folks Home)
1086,54,Protective Services Workers
1087,541,Protective Services Workers
1088,5411,Fire-Fighting And Rescue Officers
1089,54110,Fire-Fighting And Rescue Officer
1090,5412,Police Officers
1091,54121,Police Officer
1092,54122,Narcotics Officer
1093,54123,Auxiliary Police Officer
1094,5413,Prison Officers
1095,54130,Prison Officer
1096,5414,Security Guards
1097,54141,Security Supervisor
1098,54142,Private Security Officer
1099,5415,Lifeguards
1100,54150,Lifeguard
1101,5419,Protective Services And Related Workers Not Elsewhere Classified
1102,54191,Private Investigator
1103,54192,Industrial Investigator
1104,54193,Insurance Investigator
1105,54194,Park Ranger
1106,54199,Other Protective Services And Related Workers N.E.C.
1107,59,Service Workers Not Elsewhere Classified
1108,590,Service Workers Not Elsewhere Classified
1109,5900,Service Workers Not Elsewhere Classified
1110,59000,Service Workers N.E.C.
1111,6,Agricultural And Fishery Workers
1112,61,Agricultural Workers
1113,611,Market Gardeners And Crop Growers
1114,6111,Vegetable Farm Workers
1115,61111,Hydroponics Farm Worker
1116,61112,Mushroom Farm Worker
1117,61119,Other Vegetable Farm Workers
1118,6113,"Gardeners, Horticultural And Nursery Farm Workers"
1119,61131,Flower/Orchid Farm Worker
1120,61132,Nursery Worker (Eg Nursery Technician)
1121,61133,Gardeners And Horticultural Workers (Eg Landscape Technician)
1122,61134,Nursery Supervisor
1123,61139,Other Horticultural And Nursery Farm Workers
1124,612,Animal Producers
1125,6121,Livestock And Dairy Farm Workers
1126,61210,Livestock/Dairy Farm Worker
1127,6122,Poultry Farm Workers
1128,61221,Poultry Farm Worker (General)
1129,61222,Poultry Hatchery Worker
1130,61223,Poultry Inseminator
1131,61229,Other Poultry Farm Workers (Eg Poultry Vaccinator)
1132,619,Agricultural Workers Not Elsewhere Classified
1133,6190,Agricultural Workers Not Elsewhere Classified
1134,61900,Agricultural Worker N.E.C.
1135,62,Fishery Workers
1136,622,Fishery Workers
1137,6221,Aquaculture Workers
1138,62211,Fish/Prawn Farm Worker
1139,62212,Aquarium Fish Farm Worker
1140,62213,Crocodile Farm Worker
1141,62219,Other Aquatic Life Cultivation Workers (Eg Oyster Farm Worker)
1142,6222,Coastal Waters And Deep Sea Fishery Workers
1143,62220,Coastal Waters/Deep Sea Fishery Worker
1144,7,Craftsmen And Related Trades Workers
1145,71,"Building And Related Trades Workers, Excluding Electricians"
1146,710,Supervisors And General Foremen (Building And Related Trades)
1147,7100,Supervisors And General Foremen (Building And Related Trades)
1148,71000,Supervisor/General Foreman (Building And Related Trades)
1149,711,Building Frame And Related Trades Workers
1150,7112,Bricklayers And Related Workers
1151,71120,Bricklayer/Blocklayer
1152,7113,"Stone Cutters, Splitters, Carvers And Stonemasons"
1153,71131,Stone Cutter/Carver
1154,71132,Stonemason
1155,7114,"Concrete Placers, Concrete Finishers And Related Workers"
1156,71141,Reinforced Concreter (General)
1157,71142,Concrete Form Worker
1158,71143,Cement Finisher/Screeder
1159,71144,Cementer (Petroleum And Gas Wells)
1160,71149,"Other Concrete Placers, Concrete Finishers And Related Workers"
1161,7115,Carpenters And Joiners
1162,71151,Carpenter
1163,71152,Joiner
1164,7119,Building Frame And Related Trades Workers Not Elsewhere Classified
1165,71191,Scaffolder
1166,71192,Demolition Worker
1167,71193,Cladding/Curtain Wall Erector
1168,71199,Other Building Frame And Related Trades Workers N.E.C. (Eg Steeplejack)
1169,712,Building Finishers And Related Trades Workers
1170,7121,Roofers
1171,71210,Roofer
1172,7122,Floor Layers And Tile Setters
1173,71220,Floor/Wall Tiler
1174,7123,Plasterers
1175,71230,Plasterer
1176,7124,Insulation Workers
1177,71241,Building Insulator
1178,71242,Boiler/Pipe Insulator
1179,71243,Refrigeration/Air-Conditioning Equipment Insulator
1180,71244,Refractory Worker
1181,71249,Other Insulation Workers
1182,7125,Glaziers
1183,71250,Glazier
1184,7126,"Plumbers, Pipe Fitters And Related Workers"
1185,71261,Plumber
1186,71262,Pipe Fitter
1187,71263,Pipe/Drain Layer
1188,7127,Air-Conditioning And Refrigeration Mechanics
1189,71271,Air-Conditioning/Refrigeration Equipment Mechanics
1190,71272,Air-Conditioning/Refrigeration Plant Installer
1191,7129,Building Finishers And Related Trades Workers Not Elsewhere Classified
1192,71290,Building Finisher And Related Trades Worker N.E.C.
1193,713,"Painters, Building Structure Cleaners And Related Workers"
1194,7131,Building Painters And Related Workers
1195,71311,Building Painter
1196,71312,Wall/Ceiling Paperhanger
1197,7132,"Spray Painters, Varnishers And Other Painters"
1198,71321,Structural Steel/Ship Painter
1199,71322,Motor Vehicle Spray Painter
1200,71323,Sign Painter
1201,71324,"Spray Painter (Except Ships, Motor Vehicles And Signs)"
1202,71329,Other Painters And Related Workers
1203,7133,"Building Maintenance Workers, Building Structure Cleaners And Related Workers"
1204,71331,Building Maintenance Worker
1205,71332,Building Structure Cleaner And Related Worker
1206,72,"Metal, Machinery And Related Trades Workers"
1207,720,"Supervisors And General Foremen (Metal, Machinery And Related Trades)"
1208,7200,"Supervisors And General Foremen (Metal, Machinery And Related Trades)"
1209,72000,"Supervisor/General Foreman (Metal, Machinery And Related Trades)"
1210,721,"Sheet And Structural Metal Workers, Moulders And Welders And Related Trades Workers"
1211,7211,Metal Moulders And Coremakers
1212,72111,Metal Moulder
1213,72112,Coremaker
1214,7212,Welders And Flame Cutters
1215,72121,Welder
1216,72122,Flame Cutter
1217,7213,Sheet Metal Workers
1218,72131,Sheet Metal Worker (General)
1219,72132,Boilermaker
1220,72133,Panel Beater
1221,72139,Other Sheet Metal Workers
1222,7214,Structural Metal Preparers And Erectors
1223,72141,Structural Steel Worker (Workshop)/Fabricator
1224,72142,Reinforcing Iron Worker/Steel Reinforcement Worker
1225,72143,Structural Steel Erector
1226,72144,Metal Shipwright
1227,72145,Ship Plater
1228,72146,Mould Lofter
1229,72149,Other Structural Metal Preparers And Erectors
1230,7215,Riggers And Cable Splicers
1231,72151,Hoisting Equipment Rigger (General)
1232,72152,Rope And Cable Splicer (General)
1233,72153,Hoisting Equipment Rigger (Construction)
1234,72154,Ship Rigger
1235,72155,Oil And Gas Well Drilling Rigger
1236,72159,Other Riggers And Cable Splicers
1237,722,"Blacksmiths, Toolmakers And Related Trades Workers"
1238,7221,"Blacksmiths, Hammersmiths And Forging-Press Workers"
1239,72211,Blacksmith (General)
1240,72212,Forging-Press Operator
1241,72219,"Other Blacksmiths, Hammersmiths And Forging-Press Workers"
1242,7222,Toolmakers And Related Workers
1243,72221,Tool And Die Maker
1244,72222,Jig And Gauge Maker
1245,72223,Metal Pattern Maker
1246,72224,Locksmith
1247,72229,Other Toolmakers And Related Workers
1248,7224,"Metal Polishers, Wheel Grinders And Tool Sharpeners"
1249,72241,Buffing/Polishing Machine Operator
1250,72242,Tool Grinder (Machine Tools)
1251,72249,"Other Metal Polishers, Grinders And Tool Sharpeners"
1252,723,"Machinery Mechanics, Fitters And Repairers"
1253,7231,Motor Vehicle Mechanics And Repairers
1254,72311,Motor Vehicle Mechanic
1255,72312,Motor Vehicle Body Builder
1256,7232,Aircraft Engine Mechanics And Repairers
1257,72321,Aircraft Engine Mechanic
1258,72322,Aircraft Engine Fitter
1259,7233,Other Machinery Mechanics And Repairers
1260,72331,Machinery Mechanic (General)
1261,72332,Machinery Fitter (General)
1262,72333,Industrial/Office Machinery Mechanic
1263,72334,Marine Engine Fitter
1264,72335,Machinery Erector/Installer
1265,72339,"Other Machinery Mechanics And Repairers (Eg Agricultural Machinery Mechanic, Bicycle Repairer)"
1266,73,"Precision, Handicraft, Printing And Related Trades Workers"
1267,730,"Supervisors And General Foremen (Precision, Handicraft, Printing And Related Trades)"
1268,7300,"Supervisors And General Foremen (Precision, Handicraft, Printing And Related Trades)"
1269,73000,"Supervisor/General Foreman (Precision, Handicraft, Printing And Related Trades)"
1270,731,Handicraft And Precision Workers
1271,7311,Precision Instrument Makers And Repairers
1272,73111,Watch And Clock Assembler
1273,73112,Watch And Clock Repairer
1274,73113,Optical Instrument Maker/Repairer
1275,73114,Medical Device Assembler/Repairer
1276,73119,Other Precision Instrument Makers And Repairers
1277,7312,"Musical Instrument Makers, Repairers And Tuners"
1278,73120,Musical Instrument Maker/Repairer/Tuner
1279,7313,Jewellery And Precious Metal Workers
1280,73131,Jewellery Worker (General)
1281,73132,Gem Setter/Cutter And Polisher
1282,73133,Goldsmith/Silversmith
1283,73134,Jewellery Engraver
1284,73139,Other Jewellery And Precious Metal Workers
1285,7314,Potters And Related Workers
1286,73141,Pottery Worker
1287,73142,Brick And Tile Moulder
1288,73149,Other Potters And Related Workers
1289,7315,"Glass Makers, Cutters, Grinders And Finishers"
1290,73151,Glass Blower
1291,73152,Glass Lens Moulder
1292,73153,Optical Glass Cutter
1293,73154,Lens Grinding Machine Operator
1294,73155,Lens Polishing Machine Operator
1295,73159,"Other Glass Makers, Cutters, Grinders And Finishers"
1296,7316,"Sign Writers, Decorative Painters, Engravers And Etchers"
1297,73161,Glass Engraver/Etcher
1298,73162,Glass And Ceramic Painter/Decorator
1299,73169,Other Engravers And Related Decorative Painters
1300,732,Printing Trades Workers
1301,7321,Pre-Press Trades Workers
1302,73211,Compositor/Typesetter
1303,73212,Stereotyper
1304,73213,Electrotyper
1305,73214,Photo-Engraver
1306,73215,Photogravure Cameraman
1307,73216,Photogravure Retoucher
1308,73217,Photogravure Etcher
1309,73219,Other Pre-Press Trades Workers
1310,7322,Printers
1311,73221,Silk Screen/Block/Textile Printer
1312,73229,Other Printers
1313,74,Electrical And Electronic Trades Workers
1314,740,Supervisors And General Foremen (Electrical And Electronic Trades)
1315,7400,Supervisors And General Foremen (Electrical And Electronic Trades)
1316,74000,Supervisor/General Foreman (Electrical And Electronic Trades)
1317,741,Electrical Equipment Related Trades Workers
1318,7411,Electricians
1319,74110,Electrician
1320,7412,Electrical Mechanics And Fitters
1321,74121,Electrical Fitter (General)
1322,74122,"Electrical Lift, Escalator And Related Equipment Fitter"
1323,74123,Electrical Household Appliance Repairer
1324,74129,Other Electrical Mechanics And Fitters
1325,7413,Electrical Line Installers And Repairers
1326,74131,Electrical Line Installer
1327,74132,Electric Cable Jointer
1328,74139,Other Electrical Line Installers And Repairers
1329,742,Electronics And Telecommunications Related Trades Workers
1330,7421,Electronics Mechanics And Servicers
1331,74211,Electronics Fitter (General)
1332,74212,Consumer Audio And Video Equipment Mechanic
1333,74219,Other Electronics Fitters
1334,7422,Information And Communications Technology Installers And Servicers
1335,74221,"Radio, Television And Radar Broadcasting/Transmitting Equipment Fitter"
1336,74222,Computer And Related Electronic Equipment Mechanic
1337,74223,Telecommunications Lineman
1338,74224,Telecommunications Installer/Servicer
1339,75,"Food Processing, Woodworking, Garment, Leather And Other Craft And Related Trades Workers"
1340,750,"Supervisors And General Foremen (Food Processing, Woodworking, Garment, Leather And Related Trades)"
1341,7500,"Supervisors And General Foremen (Food Processing, Woodworking, Garment, Leather And Related Trades)"
1342,75000,"Supervisor/General Foreman (Food Processing, Woodworking, Garment, Leather And Related Trades)"
1343,751,Food Processing And Related Trades Workers
1344,7511,Meat And Fish Preparers
1345,75111,Slaughterer
1346,75119,Other Meat And Fish Preparers
1347,7512,"Bakers, Pastry And Confectionery Makers"
1348,75121,Baker (General)
1349,75122,Bread Baker
1350,75123,Pastry And Confectionery Maker
1351,7515,Food And Beverage Tasters And Graders
1352,75151,Coffee And Tea Taster
1353,75159,Other Food And Beverage Tasters And Graders
1354,7519,Food Processing And Related Trades Workers Not Elsewhere Classified
1355,75190,Food Processing And Related Trades Worker N.E.C. (Eg Fruit Pickler)
1356,752,"Wood Treaters, Cabinet Makers And Related Trades Workers"
1357,7521,Wood Treaters
1358,75211,Kiln Drier
1359,75212,Wood-Treating Worker
1360,75219,Other Wood Treaters
1361,7522,Cabinet Makers And Wood Related Trades Workers
1362,75221,Cabinet And Furniture Maker
1363,75222,Wood Furniture Finisher
1364,75223,Picture Frame Maker
1365,75229,Other Cabinet Makers And Wood Related Trades Workers
1366,7529,Furniture Makers And Related Trades Workers Not Elsewhere Classified
1367,75291,Rattan Furniture Maker
1368,75299,Other Furniture Makers And Related Trades Workers N.E.C.
1369,753,"Garment, Leather And Related Trades Workers"
1370,7531,Tailors/Dressmakers
1371,75310,Tailor/Dressmaker
1372,7532,Garment And Related Pattern-Makers And Cutters
1373,75321,Garment Cutter
1374,75322,Garment Pattern-Maker
1375,75323,Garment Marker
1376,75329,Other Garment And Related Pattern-Makers And Cutters
1377,7534,Upholsterers And Related Workers
1378,75341,Furniture Upholsterer
1379,75342,Vehicle Upholsterer
1380,75343,Mattress Maker
1381,75349,Other Upholsterers And Related Workers
1382,7536,Shoemakers And Related Workers
1383,75361,Shoemaker
1384,75362,Orthopaedic Footwear Maker
1385,75363,Cobbler
1386,75364,Leather Goods Maker/Assembler
1387,75369,Other Shoemakers And Related Workers
1388,7539,Garment And Related Trades Workers Not Elsewhere Classified
1389,75390,"Garment And Related Trades Worker N.E.C. (Eg Fellmonger, Tent Sewer, Umbrella Maker)"
1390,754,Other Craft And Related Workers
1391,7540,Other Craft And Related Workers
1392,75401,Fumigators/Pest And Weed Controllers
1393,75402,Underwater Diver
1394,75409,Other Craft And Related Workers N.E.C.
1395,8,Plant And Machine Operators And Assemblers
1396,81,Stationary Plant And Machine Operators
1397,810,Stationary Plant And Machine Supervisors And General Foremen
1398,8100,Stationary Plant And Machine Supervisors And General Foremen
1399,81000,Stationary Plant And Machine Supervisor/General Foreman
1400,811,Mining And Mineral Processing Plant Operators
1401,8113,Well Drillers And Borers And Other Mining Related Workers
1402,81131,Well Driller (Petroleum And Gas Wells)
1403,81132,Well Driller/Borer (Except Oil And Gas Wells)
1404,81133,Deep-Boring Machine Operator
1405,81139,Other Well Drillers And Borers And Other Mining Related Workers
1406,8114,Cement And Other Mineral Products Machine Operators
1407,81141,Precast Concrete Product Making Machine Operator
